SYMBOL	DTE	SETTLE	LAST	CHG	OPEN	HIGH	LOW	VWAP	LAST	CHG	VOLUME	OI	OI_CHG
ZQX2	26.32	96.215	96.215	0.000 	96.215	96.218	96.213	96.215	3.79	0	"30,117"	"403,467"	"9,841"
ZQZ2	56.32	95.835	95.835	0.000 	95.835	95.845	95.815	95.83	4.17	0	"18,796"	"191,677"	"1,439"
ZQF3	88.32	95.575	95.575	0.000 	95.57	95.585	95.54	95.565	4.43	0	"63,937"	"299,967"	"4,928"
ZQG3	116.32	95.18	95.17	-0.010 	95.17	95.19	95.12	95.161	4.83	0.01	"43,280"	"160,653"	"8,478"
ZQH3	147.28	95.1	95.095	-0.005 	95.095	95.115	95.02	95.082	4.91	0.01	"11,935"	"46,782"	"2,729"
ZQJ3	175.28	94.965	94.955	-0.010 	94.955	94.98	94.85	94.932	5.05	0.01	"22,784"	"90,740"	"2,867"
ZQK3	208.28	94.88	94.87	-0.010 	94.87	94.895	94.75	94.843	5.13	0.01	"19,520"	"63,252"	570
ZQM3	238.28	94.865	94.86	-0.005 	94.86	94.885	94.74	94.82	5.14	0.01	"9,533"	"22,654"	"1,967"
ZQN3	269.28	94.86	94.865	0.005 	94.855	94.895	94.72	94.822	5.14	-0.01	"16,331"	"48,563"	"-2,077"
ZQQ3	300.28	94.885	94.9	0.015 	94.875	94.925	94.745	94.852	5.1	-0.02	"14,208"	"40,398"	"-1,086"
ZQU3	329.28	94.9	94.895	-0.005 	94.89	94.945	94.765	94.862	5.11	0.01	"4,161"	"7,496"	111
ZQV3	361.28	94.93	94.955	0.025 	94.925	94.98	94.81	94.911	5.05	-0.03	"4,990"	"26,444"	551
ZQX3	391.32	95.03	95.035	0.005 	95.03	95.08	94.86	95.011	4.97	-0.01	"2,386"	"22,250"	289
ZQZ3	420.32	95.09	95.11	0.020 	95.06	95.11	94.98	95.056	4.89	-0.02	655	"5,617"	-5
ZQF4	453.32	95.13	95.125	-0.005 	95.12	95.15	94.95	95.103	4.88	0.01	691	"8,947"	90
ZQG4	482.32	95.225	95.225	0.000 	95.155	95.24	95.155	95.205	4.78	0	783	"3,693"	-43
ZQH4	510.28	95.275	95.275	0.000 	95.275	95.275	95.275	0	4.73	0	0	221	-18
ZQJ4	543.28	95.36	95.36	0.000 	95.595	95.6	95.58	0	4.64	0	0	178	-58
ZQK4	574.28	95.465	95.465	0.000 	95.8	95.8	95.8	0	4.54	0	0	43	-30
ZQM4	602.28	95.535	95.55	0.015 	95.42	95.55	95.42	95.485	4.45	-0.02	2	35	1
ZQN4	635.28	95.58	95.58	0.000 	95.86	95.86	95.815	0	4.42	0	0	45	0
ZQQ4	665.28	95.61	95.61	0.000 	95.9	96	95.9	0	4.39	0	0	10	0
ZQU4	696.28	95.61	95.61	0.000 	95.72	95.72	95.72	0	4.39	0	0	1	0
ZQV4	727.28	95.67	95.67	0.000 	0	0	0	0	4.33	0	0	0	0
